customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status
70,25,250000,RENT,2,MEDICAL,B,"£25,000.00",13.49,10,,4,NO DEFAULT
71,25,12000,OWN,0,MEDICAL,B,"£3,000.00",,5,N,3,DEFAULT
72,22,56950,RENT,6,MEDICAL,A,"£28,000.00",,10,,2,NO DEFAULT
73,21,12000,OWN,6,EDUCATION,B,"£3,000.00",13.61,1,Y,3,DEFAULT
74,23,65000,RENT,2,EDUCATION,A,"£28,000.00",7.9,10,,2,NO DEFAULT
75,26,85000,RENT,2,VENTURE,A,"£28,000.00",7.49,10,,3,NO DEFAULT
76,26,12000,OWN,2,EDUCATION,A,"£6,100.00",7.51,6,N,3,DEFAULT
77,22,88000,RENT,6,VENTURE,A,"£28,000.00",9.91,10,,3,NO DEFAULT
78,21,12000,OWN,0,PERSONAL,B,"£4,200.00",13.48,1,Y,4,DEFAULT
79,22,12000,OWN,6,DEBTCONSOLIDATION,A,"£4,750.00",7.14,2,N,2,DEFAULT
80,24,83004,RENT,0,VENTURE,C,"£28,000.00",15.99,10,Y,4,DEFAULT
81,24,250000,RENT,2,EDUCATION,B,"£18,000.00",12.98,10,Y,3,NO DEFAULT
82,144,250000,RENT,4,VENTURE,B,"£4,800.00",13.57,4,,3,NO DEFAULT
83,25,100000,RENT,5,DEBTCONSOLIDATION,A,"£28,000.00",12.69,10,,3,NO DEFAULT
84,26,110000,RENT,10,EDUCATION,A,"£28,000.00",8.9,10,,2,NO DEFAULT
85,26,12000,OWN,0,DEBTCONSOLIDATION,A,"£2,700.00",,6,N,4,DEFAULT
86,22,108000,RENT,6,EDUCATION,A,"£28,000.00",,10,,4,NO DEFAULT
87,23,151200,RENT,7,DEBTCONSOLIDATION,A,"£28,000.00",11.11,10,,2,NO DEFAULT
88,24,69000,RENT,2,HOMEIMPROVEMENT,A,"£27,600.00",,10,,2,NO DEFAULT
89,21,12000,MORTGAGE,5,DEBTCONSOLIDATION,D,"£3,250.00",15.68,1,Y,3,DEFAULT
90,22,70000,RENT,4,EDUCATION,B,"£27,500.00",13.06,10,Y,3,DEFAULT
91,22,240000,OWN,6,PERSONAL,A,"£25,000.00",,10,Y,2,NO DEFAULT
92,26,73200,RENT,5,VENTURE,C,"£27,050.00",15.62,10,Y,2,DEFAULT
93,24,83000,RENT,5,PERSONAL,B,"£27,000.00",13.49,10,Y,2,DEFAULT
94,24,73399,RENT,0,VENTURE,C,"£27,000.00",,10,N,3,DEFAULT
95,23,62500,RENT,7,MEDICAL,A,"£26,000.00",11.71,10,,2,NO DEFAULT
96,23,120000,RENT,1,EDUCATION,A,"£25,600.00",12.69,10,,3,NO DEFAULT
97,24,12360,OWN,2,MEDICAL,B,"£1,600.00",13.57,4,,3,NO DEFAULT
98,22,60000,RENT,0,VENTURE,A,"£25,475.00",10.99,10,,3,NO DEFAULT
99,25,234000,MORTGAGE,3,MEDICAL,B,"£20,000.00",14.27,10,Y,4,NO DEFAULT
100,24,234000,OWN,8,HOMEIMPROVEMENT,A,"£20,000.00",8.88,10,,4,NO DEFAULT
101,26,234000,MORTGAGE,10,HOMEIMPROVEMENT,A,"£21,600.00",12.18,10,,3,NO DEFAULT
102,25,221004,MORTGAGE,6,DEBTCONSOLIDATION,C,"£11,900.00",14.42,10,Y,3,DEFAULT
103,26,232500,MORTGAGE,0,MEDICAL,B,"£25,000.00",14.17,10,Y,2,NO DEFAULT
104,25,230000,MORTGAGE,5,MEDICAL,B,"£35,000.00",13.99,10,,4,NO DEFAULT
105,23,83000,RENT,7,EDUCATION,A,"£25,300.00",10.99,10,,3,NO DEFAULT
106,22,12600,MORTGAGE,,PERSONAL,A,"£2,000.00",5.42,2,N,4,DEFAULT
107,25,12600,OWN,3,PERSONAL,B,"£1,750.00",13.61,5,,3,NO DEFAULT
108,21,42500,RENT,3,EDUCATION,B,"£25,000.00",12.73,10,Y,3,DEFAULT
109,24,41000,RENT,2,HOMEIMPROVEMENT,C,"£25,000.00",,10,N,3,DEFAULT
110,25,12816,OWN,0,DEBTCONSOLIDATION,B,"£3,000.00",12.87,5,Y,4,DEFAULT
111,24,12960,MORTGAGE,1,HOMEIMPROVEMENT,A,"£3,650.00",9.91,4,N,3,DEFAULT
112,26,226000,MORTGAGE,4,HOMEIMPROVEMENT,A,"£20,000.00",11.49,10,,4,NO DEFAULT
113,25,225000,MORTGAGE,0,HOMEIMPROVEMENT,D,"£30,000.00",19.91,10,Y,2,NO DEFAULT
114,26,213000,MORTGAGE,6,EDUCATION,A,"£35,000.00",10.65,10,N,2,DEFAULT
115,24,225000,RENT,0,MEDICAL,A,"£6,000.00",,4,,4,NO DEFAULT
116,24,12960,MORTGAGE,0,DEBTCONSOLIDATION,A,"£4,500.00",11.83,4,N,4,DEFAULT
117,23,12996,OWN,0,DEBTCONSOLIDATION,B,"£2,400.00",13.49,3,Y,2,DEFAULT
118,22,42000,RENT,6,MEDICAL,C,"£25,000.00",14.59,10,Y,2,DEFAULT
119,26,48000,RENT,2,EDUCATION,B,"£25,000.00",9.64,10,N,4,DEFAULT
120,25,12996,OWN,1,MEDICAL,C,"£3,600.00",14.59,5,N,3,DEFAULT
121,22,12996,OWN,1,EDUCATION,A,"£4,750.00",,2,N,3,DEFAULT
122,25,42360,RENT,1,EDUCATION,D,"£25,000.00",16.35,10,Y,3,DEFAULT
123,21,49000,RENT,4,EDUCATION,B,"£25,000.00",10.99,10,N,2,DEFAULT
124,25,225000,MORTGAGE,0,VENTURE,E,"£25,000.00",18.67,10,,2,NO DEFAULT
125,26,225000,RENT,1,EDUCATION,A,"£3,000.00",9.32,6,,4,NO DEFAULT
126,23,225000,RENT,8,DEBTCONSOLIDATION,A,"£7,500.00",8.63,3,,2,NO DEFAULT
127,26,225000,MORTGAGE,2,VENTURE,A,"£25,000.00",10.08,10,,2,NO DEFAULT
128,22,49464,RENT,5,PERSONAL,B,"£25,000.00",11.83,10,N,3,DEFAULT
129,23,50000,RENT,1,DEBTCONSOLIDATION,A,"£25,000.00",7.9,10,,3,NO DEFAULT
130,25,50000,RENT,4,HOMEIMPROVEMENT,A,"£25,000.00",5.99,10,N,2,DEFAULT
131,24,44000,RENT,2,DEBTCONSOLIDATION,C,"£25,000.00",15.33,10,N,2,DEFAULT
132,23,50000,RENT,1,VENTURE,A,"£25,000.00",11.83,10,Y,4,NO DEFAULT
133,22,50004,RENT,0,VENTURE,A,"£25,000.00",10.36,10,,2,NO DEFAULT
134,22,50004,RENT,3,VENTURE,B,"£25,000.00",12.23,10,N,3,DEFAULT
135,22,52000,RENT,2,EDUCATION,A,"£25,000.00",11.11,10,,4,NO DEFAULT
136,23,13200,OWN,3,DEBTCONSOLIDATION,A,"£4,950.00",7.9,3,N,4,DEFAULT
137,24,220000,MORTGAGE,1,EDUCATION,A,"£25,000.00",11.58,10,,2,NO DEFAULT
138,23,216000,MORTGAGE,5,DEBTCONSOLIDATION,A,"£21,000.00",8.9,10,,3,NO DEFAULT
139,25,216000,MORTGAGE,2,EDUCATION,C,"£25,000.00",16.07,10,,3,NO DEFAULT
140,26,216000,MORTGAGE,10,EDUCATION,B,"£20,000.00",14.22,10,Y,2,NO DEFAULT
141,23,215000,MORTGAGE,7,MEDICAL,B,"£35,000.00",14.79,10,Y,3,NO DEFAULT
142,26,215000,MORTGAGE,11,EDUCATION,A,"£12,000.00",7.88,10,,2,NO DEFAULT
143,23,52000,RENT,1,PERSONAL,B,"£25,000.00",13.22,10,N,2,DEFAULT
144,26,46000,RENT,2,DEBTCONSOLIDATION,C,"£25,000.00",11.86,10,N,4,DEFAULT
145,22,53000,RENT,5,EDUCATION,B,"£25,000.00",13.43,10,Y,4,DEFAULT
146,26,47000,RENT,0,HOMEIMPROVEMENT,C,"£25,000.00",15.28,10,Y,2,DEFAULT
147,23,47000,RENT,1,VENTURE,D,"£25,000.00",17.93,10,N,2,DEFAULT
148,23,13200,MORTGAGE,2,EDUCATION,A,"£1,400.00",9.25,3,,4,NO DEFAULT
149,21,13200,OWN,0,VENTURE,B,"£4,500.00",12.98,1,N,4,DEFAULT
150,22,210000,MORTGAGE,6,VENTURE,A,"£16,000.00",10.62,10,,4,NO DEFAULT
151,26,210000,OWN,10,PERSONAL,A,"£22,000.00",11.83,10,,4,NO DEFAULT
152,26,48000,RENT,5,VENTURE,E,"£25,000.00",18.43,10,N,2,DEFAULT
153,22,54996,RENT,6,EDUCATION,A,"£25,000.00",,10,,4,NO DEFAULT
154,24,55000,RENT,4,HOMEIMPROVEMENT,C,"£25,000.00",,10,Y,4,DEFAULT
155,23,55000,RENT,4,EDUCATION,A,"£25,000.00",11.36,10,,3,NO DEFAULT
156,23,55000,RENT,4,EDUCATION,C,"£25,000.00",15.65,10,Y,3,DEFAULT
157,24,55164,RENT,8,PERSONAL,B,"£25,000.00",13.22,10,Y,4,DEFAULT
158,26,56000,RENT,4,DEBTCONSOLIDATION,B,"£25,000.00",12.87,10,N,2,DEFAULT
159,24,203500,OWN,8,MEDICAL,B,"£20,000.00",13.04,10,,3,NO DEFAULT
160,23,190000,MORTGAGE,5,EDUCATION,E,"£22,000.00",17.58,10,Y,3,DEFAULT
161,23,13920,OWN,2,PERSONAL,D,"£7,750.00",17.04,3,N,4,DEFAULT
162,24,60000,RENT,0,PERSONAL,A,"£25,000.00",10.99,10,N,3,DEFAULT
163,24,60000,RENT,2,PERSONAL,A,"£25,000.00",11.11,10,N,3,DEFAULT
164,26,54000,RENT,7,DEBTCONSOLIDATION,C,"£25,000.00",14.83,10,Y,2,DEFAULT
165,23,14000,OWN,2,DEBTCONSOLIDATION,C,"£4,000.00",,3,N,3,DEFAULT
166,24,200000,RENT,8,MEDICAL,A,"£12,000.00",12.69,10,,2,NO DEFAULT
167,24,200000,MORTGAGE,8,HOMEIMPROVEMENT,B,"£12,000.00",13.49,10,,2,NO DEFAULT
168,21,200000,MORTGAGE,5,EDUCATION,B,"£16,000.00",14.65,10,,4,NO DEFAULT
169,25,54000,RENT,3,HOMEIMPROVEMENT,D,"£25,000.00",16.82,10,N,4,DEFAULT
170,23,60000,RENT,3,PERSONAL,B,"£25,000.00",12.73,10,N,3,DEFAULT
171,23,60000,RENT,7,PERSONAL,A,"£25,000.00",10.25,10,N,4,DEFAULT
172,21,60000,RENT,6,EDUCATION,A,"£25,000.00",10.99,10,N,4,DEFAULT
173,25,61959,RENT,9,MEDICAL,B,"£25,000.00",12.73,10,N,2,DEFAULT
174,22,56400,RENT,2,HOMEIMPROVEMENT,C,"£25,000.00",14.96,10,Y,3,DEFAULT
175,23,200000,MORTGAGE,7,EDUCATION,A,"£28,000.00",,10,,2,NO DEFAULT
176,21,200000,MORTGAGE,2,DEBTCONSOLIDATION,B,"£25,000.00",13.99,10,,2,NO DEFAULT
177,24,200000,MORTGAGE,3,VENTURE,A,"£24,000.00",7.49,10,Y,4,NO DEFAULT
178,26,200000,MORTGAGE,4,EDUCATION,B,"£15,000.00",14.79,10,,3,NO DEFAULT
179,25,200000,MORTGAGE,2,DEBTCONSOLIDATION,A,"£15,500.00",11.99,10,,2,NO DEFAULT
180,24,200000,RENT,8,EDUCATION,A,"£10,000.00",8.49,4,,4,NO DEFAULT
181,24,66000,RENT,3,EDUCATION,A,"£25,000.00",9.91,10,N,2,DEFAULT
182,22,66000,RENT,6,EDUCATION,B,"£25,000.00",13.06,10,Y,3,DEFAULT
183,22,200000,MORTGAGE,6,DEBTCONSOLIDATION,A,"£9,000.00",6.17,2,,4,NO DEFAULT
184,144,200000,MORTGAGE,4,EDUCATION,A,"£6,000.00",11.86,4,,2,NO DEFAULT
185,25,200000,RENT,5,EDUCATION,C,"£18,000.00",16.32,10,,3,NO DEFAULT
186,25,200000,MORTGAGE,2,VENTURE,A,"£12,000.00",10.38,10,,2,NO DEFAULT
187,25,200000,MORTGAGE,9,PERSONAL,B,"£23,050.00",14.35,10,,3,NO DEFAULT
188,24,200000,MORTGAGE,8,DEBTCONSOLIDATION,A,"£20,000.00",,10,,3,NO DEFAULT
189,24,60000,RENT,2,DEBTCONSOLIDATION,D,"£25,000.00",,10,Y,2,DEFAULT
190,21,14400,OWN,0,HOMEIMPROVEMENT,A,"£3,000.00",,1,N,4,DEFAULT
191,26,66996,RENT,10,PERSONAL,C,"£25,000.00",15.21,10,Y,2,DEFAULT
192,23,67000,RENT,3,EDUCATION,A,"£25,000.00",7.9,10,N,4,DEFAULT
193,24,67000,RENT,2,VENTURE,A,"£25,000.00",10.99,10,N,3,DEFAULT
194,24,68000,RENT,5,PERSONAL,C,"£25,000.00",14.09,10,Y,3,DEFAULT
195,25,69000,RENT,9,PERSONAL,C,"£25,000.00",17.49,10,N,2,DEFAULT
196,25,200000,MORTGAGE,0,EDUCATION,A,"£12,000.00",11.48,10,,3,NO DEFAULT
197,26,188000,MORTGAGE,10,VENTURE,D,"£20,000.00",17.74,10,N,2,DEFAULT
198,26,200000,MORTGAGE,4,PERSONAL,B,"£3,000.00",13.92,6,,3,NO DEFAULT
199,25,69996,RENT,9,EDUCATION,C,"£25,000.00",15.21,10,N,3,DEFAULT
200,22,14400,OWN,2,MEDICAL,A,"£4,000.00",10.99,2,Y,3,DEFAULT
201,24,70000,RENT,3,EDUCATION,A,"£25,000.00",11.86,10,N,4,DEFAULT
202,24,14400,OWN,5,PERSONAL,A,"£6,000.00",7.49,4,N,3,DEFAULT
203,24,56100,RENT,7,MEDICAL,C,"£25,000.00",16.49,10,N,4,DEFAULT
204,25,66000,RENT,9,VENTURE,C,"£25,000.00",15.33,10,Y,2,DEFAULT
205,26,66000,RENT,3,HOMEIMPROVEMENT,A,"£25,000.00",11.58,10,N,4,DEFAULT
206,25,14400,OWN,7,EDUCATION,A,"£5,375.00",5.79,5,N,2,DEFAULT
207,25,72612,RENT,9,MEDICAL,B,"£25,000.00",13.11,10,N,2,DEFAULT
208,23,74000,RENT,3,MEDICAL,A,"£25,000.00",10.36,10,N,3,DEFAULT
209,25,75000,RENT,9,DEBTCONSOLIDATION,A,"£25,000.00",10.36,10,Y,2,DEFAULT
210,24,192000,RENT,0,MEDICAL,B,"£22,000.00",,10,Y,2,NO DEFAULT
211,21,192000,MORTGAGE,123,VENTURE,A,"£20,000.00",6.54,10,,4,NO DEFAULT
212,25,191000,MORTGAGE,1,MEDICAL,A,"£10,000.00",12.53,5,,4,NO DEFAULT
213,26,190300,MORTGAGE,5,PERSONAL,A,"£15,000.00",,10,,3,NO DEFAULT
214,22,190000,MORTGAGE,3,VENTURE,B,"£10,000.00",,2,,3,NO DEFAULT
215,24,75000,RENT,4,EDUCATION,A,"£25,000.00",10.25,10,N,4,DEFAULT
216,22,71000,RENT,1,EDUCATION,C,"£25,000.00",15.95,10,Y,4,DEFAULT
217,26,190000,MORTGAGE,3,VENTURE,A,"£20,000.00",12.18,10,,4,NO DEFAULT
218,23,189996,OWN,0,PERSONAL,A,"£24,000.00",11.83,10,,3,NO DEFAULT
219,23,78000,RENT,7,DEBTCONSOLIDATION,B,,,3,Y,2,DEFAULT
220,23,78000,RENT,1,VENTURE,A,"£25,000.00",10.62,10,N,3,DEFAULT
221,23,78504,RENT,7,VENTURE,A,"£25,000.00",10.74,10,N,3,DEFAULT
222,25,186000,OWN,9,VENTURE,A,"£10,000.00",10.25,5,,4,NO DEFAULT
223,24,185000,MORTGAGE,,EDUCATION,A,"£35,000.00",12.42,10,,2,NO DEFAULT
224,25,185000,RENT,6,VENTURE,B,"£15,000.00",15.27,10,,2,NO DEFAULT
225,24,62050,RENT,8,MEDICAL,C,"£25,000.00",15.33,10,Y,2,DEFAULT
226,23,79416,RENT,7,VENTURE,C,"£25,000.00",15.21,10,Y,2,DEFAULT
227,21,14400,OWN,4,VENTURE,B,"£6,250.00",14.72,1,N,2,DEFAULT
228,24,79631,RENT,8,PERSONAL,C,"£25,000.00",15.7,10,Y,2,DEFAULT
229,24,79632,RENT,0,EDUCATION,B,"£25,000.00",13.35,10,N,4,DEFAULT
230,21,14400,MORTGAGE,0,MEDICAL,B,"£1,500.00",,1,,4,NO DEFAULT
231,24,80000,RENT,6,EDUCATION,A,"£25,000.00",6.62,10,N,2,DEFAULT
232,26,80000,RENT,5,DEBTCONSOLIDATION,B,"£25,000.00",13.61,10,N,4,DEFAULT
233,22,185000,RENT,4,MEDICAL,A,"£25,000.00",11.36,10,,2,NO DEFAULT
234,26,185000,OWN,10,PERSONAL,A,"£5,000.00",7.68,6,,2,NO DEFAULT
235,24,184992,RENT,7,HOMEIMPROVEMENT,C,"£22,000.00",14.46,10,Y,4,NO DEFAULT
236,23,184000,OWN,5,EDUCATION,A,"£2,500.00",11.83,3,,2,NO DEFAULT
237,24,172000,MORTGAGE,6,DEBTCONSOLIDATION,B,"£20,000.00",13.47,10,Y,4,DEFAULT
238,24,183000,MORTGAGE,2,MEDICAL,A,"£20,000.00",11.49,10,,3,NO DEFAULT
239,22,183000,MORTGAGE,3,EDUCATION,A,"£1,000.00",,2,,2,NO DEFAULT
240,25,182952,MORTGAGE,9,PERSONAL,A,"£15,000.00",6.03,10,,3,NO DEFAULT
241,23,74004,RENT,7,DEBTCONSOLIDATION,D,"£25,000.00",16.35,10,N,4,DEFAULT
242,26,74004,RENT,10,DEBTCONSOLIDATION,C,"£25,000.00",,10,Y,4,DEFAULT
243,25,81000,RENT,5,DEBTCONSOLIDATION,A,"£25,000.00",7.29,10,Y,3,DEFAULT
244,23,81600,RENT,1,MEDICAL,A,"£25,000.00",11.36,10,N,3,DEFAULT
245,24,82000,RENT,8,VENTURE,A,"£25,000.00",10.25,10,,2,NO DEFAULT
246,24,83000,RENT,5,EDUCATION,A,"£25,000.00",11.12,10,,3,NO DEFAULT
247,24,83000,RENT,5,PERSONAL,C,"£25,000.00",12.92,10,Y,3,NO DEFAULT
248,24,180000,RENT,8,EDUCATION,D,"£18,000.00",18.64,10,Y,4,NO DEFAULT
249,23,180000,MORTGAGE,8,PERSONAL,A,"£28,000.00",7.51,10,,3,NO DEFAULT
250,23,14400,OWN,2,HOMEIMPROVEMENT,D,"£4,000.00",16.7,3,N,2,DEFAULT
251,22,14400,OWN,0,PERSONAL,A,"£2,100.00",11.14,2,,4,NO DEFAULT
252,22,84500,RENT,6,PERSONAL,E,"£25,000.00",18.3,10,,4,NO DEFAULT
253,24,85000,RENT,5,MEDICAL,A,"£25,000.00",10.62,10,,4,NO DEFAULT
254,24,180000,MORTGAGE,7,VENTURE,A,"£14,000.00",11.99,10,,2,NO DEFAULT
255,26,180000,MORTGAGE,2,VENTURE,A,"£12,000.00",9.63,10,,4,NO DEFAULT
256,25,142800,MORTGAGE,9,MEDICAL,E,"£10,000.00",18.25,5,N,4,DEFAULT
257,23,14664,MORTGAGE,0,DEBTCONSOLIDATION,B,"£6,000.00",,3,N,4,DEFAULT
258,24,87000,RENT,8,HOMEIMPROVEMENT,C,"£25,000.00",14.84,10,,3,NO DEFAULT
259,24,75000,RENT,0,VENTURE,D,"£25,000.00",14.7,10,Y,3,DEFAULT
260,23,76000,RENT,7,DEBTCONSOLIDATION,C,"£25,000.00",16.02,10,N,4,DEFAULT
261,23,66215,RENT,1,MEDICAL,C,"£25,000.00",15.37,10,Y,2,DEFAULT
262,25,90000,RENT,9,MEDICAL,A,"£25,000.00",10.99,10,,4,NO DEFAULT
263,21,15000,OWN,0,HOMEIMPROVEMENT,A,"£6,200.00",7.9,1,N,2,DEFAULT
264,26,180000,OWN,2,PERSONAL,A,"£25,000.00",10.99,10,,4,NO DEFAULT
265,24,180000,OWN,8,EDUCATION,A,"£21,000.00",11.48,10,,3,NO DEFAULT
266,25,180000,OWN,9,MEDICAL,B,"£20,000.00",14.26,10,Y,4,NO DEFAULT
267,26,180000,OWN,0,HOMEIMPROVEMENT,A,"£10,000.00",8,6,,4,NO DEFAULT
268,25,180000,MORTGAGE,3,VENTURE,A,"£9,950.00",11.26,5,,2,NO DEFAULT
269,23,15000,OWN,7,MEDICAL,A,"£4,475.00",,3,Y,4,DEFAULT
270,23,78000,RENT,2,VENTURE,C,"£25,000.00",16.32,10,Y,3,DEFAULT
271,25,66300,RENT,3,MEDICAL,D,"£25,000.00",17.93,10,Y,4,DEFAULT
272,23,90000,RENT,0,DEBTCONSOLIDATION,A,"£25,000.00",11.36,10,Y,3,NO DEFAULT
273,24,79000,RENT,9,DEBTCONSOLIDATION,C,"£25,000.00",14.96,10,Y,4,DEFAULT
274,24,91800,RENT,4,PERSONAL,B,"£25,000.00",13.43,10,Y,3,NO DEFAULT
275,25,92000,RENT,6,HOMEIMPROVEMENT,A,"£25,000.00",12.69,10,,3,NO DEFAULT
276,24,92000,RENT,1,VENTURE,B,"£25,000.00",12.73,10,Y,4,NO DEFAULT
